ItemID,Item_name,Bowl,Cup,1tablespoon,1teaspoon,small,medium,large
188,Padayappa,,,,,,,
189,Pali Kora,,,,,,,
190,Pambada,,,,,,,
191,Pandukopa,,,,,,,
192,Parava,,,,,,,
193,Parcus,,,,,,,
194,Parrot Fish,,,,,,,
195,Perinkillchai,,,,,,,
196,Phopat,,,,,,,
197,Piranha,,,,,,,
198,Black Pomfret,,,,,,,
199,Snub nose Pomfret,,,,,,,
200,White Pomfret,,,,,,,
201,Pranel,,,,,,,
202,Pulli Paarai,,,,,,,
203,Queen Fish,,,,,,,
204,Raai Fish,,,,,,,
205,Raai Vanthu,,,,,,,
206,Rani,,,,,,,
207,Spotted bow head ray fish,,,,,,,
208,Red Snapper,,,,,,,
209,Red Squid,,,,,,,
210,Small white Squid,,187,,,,,
211,Catla,,,,,,,
212,Freshwater Eel,,,,,,,
213,Golden Fish,,,,,,,
214,Pangas,,,,,,,
215,Rohu,,,,,,,
216,Crab,,,,,,,
217,Prawns,,,,,,,
218,Radish,,100,,,,,
219,Sweet Potato,,116,,,,,
220,Tapioca,,154,,,,,
221,Water Chestnut,,100,,,,,
222,Yam,,100,,,,,
223,Green Chillies,,,15.7,,,,
224,Red Chillies,,,15,,,,
225,Corriander Leaves,,16,,,,,
226,Curry Leaves,,,15,,,,
227,Garlic,,,,,,,
228,Mango Ginger,,,15,,,,
229,Mint Leaves,,,5.5,,,,
230,Onion,,94,,,70,90,150
231,Asafoetida,,,,3.1,,,
232,Cardamom,,,,2,,,
233,Cloves,,,,2.1,,,
234,Coriander Seeds,,,,1.8,,,
235,Cumin Seeds,,,,2.1,,,
236,Fenugreek Seeds,,,,3.7,,,
237,Mace,,,,1.7,,,
238,Nutmeg,,,,2.2,,,
239,Omum,,,,2.1,,,
240,Pippali,,100,,,,,
241,Black Pepper,,,,2.3,,,
242,Poppy Seeds,,,,2.8,,,
243,Turmeric Powder,,,,3,,,
244,Almond,,,28,,,,
245,Areca Nut,,100,,,,,
246,Cashew Nut,,,28,,,,
247,Coconut,,85,,,,,
248,Garden Cress,99,50,,,,,
249,Gingelly Seeds,,,14,,,,
250,Ground Nut,,100,,,,,
251,Mustard Seeds,,,,2,,,
252,Linseeds,,,10,,,,
253,Black Niger Seeds,,100,,,,,
254,Gray Niger Seeds,,100,,,,,
255,Pine Seeds,,,28,,,,
256,Pistachio,,,28,,,,
257,Safflower Seeds,,,28,,,,
258,Sunflower Seeds,,128,,,,,
259,Walnut,,,28,,,,
260,Jaggery,,,,3,,,
261,Sugarcane Juice,,240,,,,,
262,Button Mushroom,,52.8,,,,,
263,Chicken Mushroom,,,,,,,
264,Shittake Mushroom,,70,,,,,
265,Oyster Mushroom,,86,,,,,
266,Toddy,,,15,,,,
267,Coconut Water,,240,,,,,
268,Lentil,,198,,,,,
269,Lentil whole,,214,,,,,
270,Moth bean,,179,,,,,
271,Peas dry,,160,,,,,
272,Rajma,,177,,,,,
273,Red gram,,168,,,,,
274,Whole red gram,,140,,,,,
275,Ricebean,,150,,,,,
276,Soyabean,,172,,,,,
277,Red Amaranth leaves,,132,,,,,
278,Green Amaranth leaves,,132,,,,,
279,coriander seeds,,,5,1.8,,,
280,whole dry kashmiri red chillies,,,,,,,
281,oil,,218,13.6,4.5,,,
282,garlic,,136,8.4,2.8,,,
283,green chillies,,150,9.3,3.1,,,
284,tomatoes,100,,,,91,123,182
285,dried fenugreek leaves,,,5.4,1.8,,,
286,garam masala,,,15,5,,,
287,salt,,292,18,6,,,
288,paneer (cottage cheese),,226,14.1,,,,
289,onions,,,10,,70,90,150
290,coriander-cumin seeds,,,,,,,
291,turmeric powder,,,6.8,2.2,,,
292,chilli powder,,,8,2.7,,,
293,capsicum,,149,9.3,,,,
294,sugar,,220,9,3,,,
295,cream,,,,,,,
296,"Capsicum, green",,149,9.3,,,,
297,"Capsicum, red",,149,9.3,,,,
298,"Capsicum, yellow",,149,9.3,,,,
299,Buffalo milk,,244,,,,,
300,Cow milk,,244,,,,,
301,Paneer,,226,,,,,
302,Khoa,Bowl,321,,,,,
303,Poultry egg,,75,,,,,
304,Poultry egg white,,64,,,,,
305,Poultry egg yolk,,51,,,,,
306,Poultry egg omelette,,56,,,,,
307,Hen egg raw,,56,,,,,
308,Hen egg omelette,,56,,,,,
309,Hen egg boiled,,75,,,,,
310,Duck egg omelette,,56,,,,,
311,Duck egg boiled,,75,,,,,
312,Duck egg raw,,56,,,,,
313,Chicken leg,,185,,,,,
314,Chicken thigh,,189,,,,,
315,Chicken breast,,200,,,,,
316,Chicken wing,,107,,,,,
317,Duck meat,,151.5,,,,,
318,Emu meat,,228,,,,,
319,Guinea meat,,228,,,,,
320,Pigeon meat,,168,,,,,
321,Quail meat,,92,,,,,
322,Turkey leg,,225,,,,,
323,Turkey thigh,,293,,,,,
324,Turkey breast,,316,,,,,
325,Turkey wing,,250,,,,,
326,Goat shoulder,,269,,,,,
327,Goat legs,,288,,,,,
328,Salmon,,318,,,,,
329,Sardine,,149,,,,,
330,Shark,,153,,,,,
331,Silver carp,,177,,,,,
332,Sole fish,,163,,,,,
333,Stingray,,176,,,,,
334,Tilapia,,116,,,,,
335,Tuna,,180,,,,,
336,Vanjaram,,225,,,,,
337,Red Amarnath leaves,,21,1.3,,,,
338,Green Amarnath leaves,,21,1.3,,,,
339,Potatoes,,150,,,,,
340,Carrots,,128,8,,,,
341,Capsicum ,,150,9.3,,,,
342,Green Peas,,145,9,,,,
343,Ginger,,96,6,2,,,
344,Cashews,,130,8.1,,,,
345,Milk,,244,15,8,,,
346,Red Chill powder,,,8,2.7,,,
347,Coriander Powder,,,9,3,,,
348,Kasuri Methi,350,250,,,,,
349,Coriander Leaves,,16,1,,,,
350,Pizza Base,,,,,,,
351,Bread Flour,,137,9,,,,
352,Yeast,,,12,4,,,
353,Water,,,,,,,
354,Pasta,233,166,,,,,
355,Butter,,,14.2,4.7,,,
356,Flour,,125,7.8,2.6,,,
357,Pepper,,,6.9,2.9,,,
358,Parmesan cheese,,113,7,,,,
359,Chicken,,,,,,,
360,Chilli Pepper,,,,,,,
361,Ghee,,151,9.5,3,,,
362,Onion big,,160,10,,70,90,150
363,Yoghurt,,225,14,,,,
364,Cumin,,,6,2,,,
365,Lemon,,,,,,,
366,Green Chilli,,150,9,3,,,
367,Red Chilli,,150,9,3,,,
368,Egg,,136,,,,,
369,Basmati Rice,289,206,,,,,
370,Carrot,,128,8,,,,
371,Bay leaf,,,1,0.6,,,
372,Cinnamon,,,7.8,2.6,,,
373,Trifle,,139.6,8.72,2.91,,,
374,Victoria Sponge Cake,,,,,,,
375,Waffles,,,,,,,
